Library,month,visits
http://datadock.io/kal/data/id/resource/library/Blakelaw,2014-11,2058
http://datadock.io/kal/data/id/resource/library/Blakelaw,2014-12,1383
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-01,1620
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-02,1740
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-03,2123
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-04,1761
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-05,1833
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-06,2255
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-07,2094
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-08,1884
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-09,1998
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-10,3122
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-11,2833
http://datadock.io/kal/data/id/resource/library/Blakelaw,2015-12,2380
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-01,2826
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-02,2409
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-03,2363
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-04,2051
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-05,1476
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-06,2047
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-07,2156
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-08,1859
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-09,1854
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-10,1874
http://datadock.io/kal/data/id/resource/library/Blakelaw,2016-11,1843
http://datadock.io/kal/data/id/resource/library/City,2008-04,16326
http://datadock.io/kal/data/id/resource/library/City,2008-05,19763
http://datadock.io/kal/data/id/resource/library/City,2008-06,16439
http://datadock.io/kal/data/id/resource/library/City,2008-07,16118
http://datadock.io/kal/data/id/resource/library/City,2008-08,21817
http://datadock.io/kal/data/id/resource/library/City,2008-09,17531
http://datadock.io/kal/data/id/resource/library/City,2008-10,17106
http://datadock.io/kal/data/id/resource/library/City,2008-11,14476
http://datadock.io/kal/data/id/resource/library/City,2008-12,14622
http://datadock.io/kal/data/id/resource/library/City,2009-01,12621
http://datadock.io/kal/data/id/resource/library/City,2009-02,12683
http://datadock.io/kal/data/id/resource/library/City,2009-03,14914
http://datadock.io/kal/data/id/resource/library/City,2009-04,4685
http://datadock.io/kal/data/id/resource/library/City,2009-05,15482
http://datadock.io/kal/data/id/resource/library/City,2009-06,93851
http://datadock.io/kal/data/id/resource/library/City,2009-07,114963
